îNåéì˙,ç≈çÇãCâ∑(Åé),ì˙è∆éûä‘(éûä‘)
2021/1/1,10.5,8.7
2021/1/2,10.8,8.8
2021/1/3,8.4,8.8
2021/1/4,11.4,7.7
2021/1/5,10,1
2021/1/6,6.8,0.4
2021/1/7,12.7,7.4
2021/1/8,6.5,5.4
2021/1/9,8.4,8.5
2021/1/10,8.1,8.9
2021/1/11,6.5,0.8
2021/1/12,5.7,0
2021/1/13,12.5,9.1
2021/1/14,14.5,9
2021/1/15,7.6,0
2021/1/16,18.7,8.8
2021/1/17,8,0.2
2021/1/18,8.6,5.4
2021/1/19,9.5,9.2
2021/1/20,9.5,9.2
2021/1/21,10.7,9.1
2021/1/22,16,7.7
2021/1/23,10.2,0
2021/1/24,6.5,0
2021/1/25,13.2,8.8
2021/1/26,11.2,2.2
2021/1/27,16.2,0.8
2021/1/28,7.9,0.2
2021/1/29,10.8,7.5
2021/1/30,9.3,9.4
2021/1/31,11.9,9.4
2021/2/1,14,4.5
2021/2/2,15.6,4.2
2021/2/3,11.8,9
2021/2/4,12.6,9.5
2021/2/5,12.4,8.9
2021/2/6,15,9.4
2021/2/7,16.3,9.1
2021/2/8,11,2.7
2021/2/9,9.6,9.7
2021/2/10,12.1,8
2021/2/11,14.1,9.4
2021/2/12,11.7,1.5
2021/2/13,16.2,9.4
2021/2/14,18.2,6.4
2021/2/15,14.1,0.6
2021/2/16,16.4,10
2021/2/17,13.1,7
2021/2/18,10.4,7
2021/2/19,12.3,10
2021/2/20,18.1,9.9
2021/2/21,20.9,9.9
2021/2/22,21.9,10.2
2021/2/23,15.5,9.7
2021/2/24,11.9,10.1
2021/2/25,11.3,8.5
2021/2/26,11.8,0
2021/2/27,9.6,9.9
2021/2/28,12.9,10.4
2021/3/1,19.1,7.3
2021/3/2,19.8,0.2
2021/3/3,11.8,10.8
2021/3/4,15,8.4
2021/3/5,17.4,3.6
2021/3/6,21,4.9
2021/3/7,10.3,0.2
2021/3/8,7.7,0
2021/3/9,13.7,3.7
2021/3/10,19.4,10.3
2021/3/11,15.4,10.7
2021/3/12,18,2.8
2021/3/13,13.9,0
2021/3/14,18.2,10.8
2021/3/15,19.5,11.3
2021/3/16,22,7.7
2021/3/17,20.1,9.6
2021/3/18,17.7,10.9
2021/3/19,18.9,7.6
2021/3/20,18.6,1
2021/3/21,19.7,0
2021/3/22,15.6,1.8
2021/3/23,15.8,11.6
2021/3/24,20.5,11.5
2021/3/25,18.4,2
2021/3/26,21.2,10.8
2021/3/27,18.3,10.2
2021/3/28,18.6,0
2021/3/29,23.4,10.5
2021/3/30,23.3,3.1
2021/3/31,23.4,9.9
2021/4/1,21.7,6.5
2021/4/2,19.9,1
2021/4/3,22.3,8.1
2021/4/4,23.3,3.3
2021/4/5,17.2,0
2021/4/6,15.7,2.5
2021/4/7,19.6,10.9
2021/4/8,18.1,8.2
2021/4/9,18.3,5.3
2021/4/10,16.3,9.3
2021/4/11,18.6,11.9
2021/4/12,20.8,9.9
2021/4/13,20.1,0.7
2021/4/14,19.2,0
2021/4/15,16.5,10.1
2021/4/16,19.1,1.7
2021/4/17,18.7,0
2021/4/18,22,12.2
2021/4/19,21.9,12.1
2021/4/20,24.5,12.1
2021/4/21,25.2,12.3
2021/4/22,26.2,8.7
2021/4/23,20.4,12.4
2021/4/24,21.6,11
2021/4/25,23.2,5.7
2021/4/26,19.4,12.6
2021/4/27,20.4,10.1
2021/4/28,23.8,8
2021/4/29,18.8,0
2021/4/30,24.2,11.9
2021/5/1,24.1,7.9
2021/5/2,23.5,7.8
2021/5/3,22.8,9.2
2021/5/4,24.5,11.4
2021/5/5,22.1,1.6
2021/5/6,24.4,6.7
2021/5/7,20.5,0.7
2021/5/8,24.9,7.2
2021/5/9,28.5,7.8
2021/5/10,25.1,9.4
2021/5/11,19.9,0.6
2021/5/12,21.2,3
2021/5/13,18.2,0
2021/5/14,26.9,10.9
2021/5/15,26.4,7.1
2021/5/16,22.4,1.2
2021/5/17,25,0
2021/5/18,22.8,0
2021/5/19,18.4,0
2021/5/20,22.3,0.3
2021/5/21,25.2,0
2021/5/22,23.4,0.1
2021/5/23,25.4,9.8
2021/5/24,28,5
2021/5/25,28.9,10.7
2021/5/26,26,10.4
2021/5/27,20.3,0
2021/5/28,26.1,4.2
2021/5/29,28.3,4.7
2021/5/30,26.8,4.7
2021/5/31,25.2,8.1
2021/6/1,25.7,9.5
2021/6/2,26.4,3
2021/6/3,27.4,7.8
2021/6/4,23.9,0
2021/6/5,26.7,3.4
2021/6/6,24,0.3
2021/6/7,29.7,3.9
2021/6/8,31.4,9
2021/6/9,31.1,13.1
2021/6/10,30.7,13.2
2021/6/11,29.4,9.6
2021/6/12,28.1,4.8
2021/6/13,28.1,3.2
2021/6/14,23.7,0
2021/6/15,29.5,7.2
2021/6/16,24.9,0
2021/6/17,26.7,4.8
2021/6/18,27.4,7.9
2021/6/19,23.1,0
2021/6/20,28.6,1
2021/6/21,27.9,5.3
2021/6/22,28.6,3.2
2021/6/23,25.6,0.1
2021/6/24,27.2,3.3
2021/6/25,27.5,3.9
2021/6/26,28.4,4
2021/6/27,26.7,0.8
2021/6/28,29.6,7.8
2021/6/29,28.4,1.5
2021/6/30,23.1,0
2021/7/1,22.9,0
2021/7/2,22.2,0
2021/7/3,25.8,0.3
2021/7/4,21.1,0
2021/7/5,25.1,0.6
2021/7/6,29.6,0.2
2021/7/7,30,1.9
2021/7/8,24.8,0
2021/7/9,24.9,0
2021/7/10,33.4,9
2021/7/11,31.8,3.1
2021/7/12,31.6,7.9
2021/7/13,29,1.6
2021/7/14,28.8,0.9
2021/7/15,31.1,5
2021/7/16,33.2,8
2021/7/17,32.6,9.6
2021/7/18,33.2,12.9
2021/7/19,34.7,11
2021/7/20,34,9.8
2021/7/21,33.6,10.6
2021/7/22,34.2,11.3
2021/7/23,34,8.7
2021/7/24,34.4,7.3
2021/7/25,34.4,10.4
2021/7/26,32.1,5.4
2021/7/27,29.8,2.7
2021/7/28,32,6.8
2021/7/29,32.1,4.5
2021/7/30,30.5,2.1
2021/7/31,32.5,8.6
2021/8/1,33.7,12
2021/8/2,33.1,7.6
2021/8/3,32.9,7.6
2021/8/4,34.5,11.5
2021/8/5,34.7,11.7
2021/8/6,34.8,9.9
2021/8/7,31.4,1.5
2021/8/8,28.8,0.1
2021/8/9,31.3,3.9
2021/8/10,36.8,9.2
2021/8/11,33.5,8.8
2021/8/12,29.2,0.7
2021/8/13,25.4,0
2021/8/14,25.6,0
2021/8/15,20.2,0
2021/8/16,22.5,0
2021/8/17,27.4,1.2
2021/8/18,31.3,5.8
2021/8/19,33.8,11.3
2021/8/20,33.7,10.9
2021/8/21,32.1,4.6
2021/8/22,33.6,4.6
2021/8/23,30.3,4.2
2021/8/24,31,4.2
2021/8/25,34.4,5.4
2021/8/26,35.7,8.1
2021/8/27,34.3,9
2021/8/28,34.8,8.9
2021/8/29,32.8,1.1
2021/8/30,33.8,8.9
2021/8/31,32.4,2.9
2021/9/1,23.5,0
2021/9/2,20.6,0
2021/9/3,21.4,0
2021/9/4,22.9,0
2021/9/5,24.7,0.3
2021/9/6,21.8,0
2021/9/7,24.4,4
2021/9/8,25,1.9
2021/9/9,22.5,0
2021/9/10,30,7.4
2021/9/11,29.1,1.2
2021/9/12,26.9,0
2021/9/13,30.7,8.8
2021/9/14,25.7,0
2021/9/15,28.5,5.8
2021/9/16,27.4,3.7
2021/9/17,25.2,0.3
2021/9/18,26,0.2
2021/9/19,29.2,9.8
2021/9/20,28.3,11.8
2021/9/21,27.9,5.8
2021/9/22,29.5,4.4
2021/9/23,31.7,9.3
2021/9/24,30.6,9.8
2021/9/25,24.5,0.3
2021/9/26,21.3,0
2021/9/27,24.8,2.9
2021/9/28,26.6,3.5
2021/9/29,26.3,4.7
2021/9/30,29.2,4.8
2021/10/1,21.3,0
2021/10/2,30.1,10.2
2021/10/3,27.7,10
2021/10/4,29.7,6.6
2021/10/5,29.1,9.9
2021/10/6,28.5,6.6
2021/10/7,24.1,0.1
2021/10/8,29.2,9.2
2021/10/9,28.1,3
2021/10/10,26.7,4.5
2021/10/11,29.3,9.1
2021/10/12,23.8,0
2021/10/13,18.5,0
2021/10/14,24.5,6.3
2021/10/15,25.4,7
2021/10/16,23.2,0.3
2021/10/17,21.2,0
2021/10/18,18.8,9.4
2021/10/19,15.4,0
2021/10/20,22.3,10.2
2021/10/21,19.3,4.6
2021/10/22,15.3,0
2021/10/23,19.2,10
2021/10/24,19.5,9.3
2021/10/25,17.3,1.7
2021/10/26,20.4,6
2021/10/27,16.6,0.1
2021/10/28,23,9.7
2021/10/29,20,9.6
2021/10/30,20.4,9.6
2021/10/31,16.4,0
2021/11/1,21.4,3.7
2021/11/2,21.9,5.3
2021/11/3,22.1,8
2021/11/4,20.3,8.2
2021/11/5,20.3,9.3
2021/11/6,19.6,8.8
2021/11/7,19.2,4.6
2021/11/8,21.5,6.7
2021/11/9,19.8,0
2021/11/10,20.9,7.3
2021/11/11,20.7,9.4
2021/11/12,21.5,9
2021/11/13,18.4,9.4
2021/11/14,19.6,8.8
2021/11/15,20.4,9.3
2021/11/16,18.8,5.6
2021/11/17,17.6,8.4
2021/11/18,17.4,4
2021/11/19,17.6,7.5
2021/11/20,18.7,9
2021/11/21,15.8,0.2
2021/11/22,16.6,0
2021/11/23,17,4.7
2021/11/24,16.9,9
2021/11/25,18.5,9.2
2021/11/26,17.3,9
2021/11/27,13.8,7.2
2021/11/28,14.4,9.1
2021/11/29,13.6,8.4
2021/11/30,16.1,7.6
2021/12/1,20.3,5.6
2021/12/2,13.8,8.9
2021/12/3,16.1,8.9
2021/12/4,14.9,8.8
2021/12/5,11.9,7.1
2021/12/6,10.8,0
2021/12/7,14.9,0
2021/12/8,10.6,0
2021/12/9,14.2,7
2021/12/10,12.5,4.8
2021/12/11,15.4,8.9
2021/12/12,16.7,6.5
2021/12/13,13,8.9
2021/12/14,6.4,0.8
2021/12/15,14.3,8.9
2021/12/16,14.7,8
2021/12/17,11.9,0.4
2021/12/18,8.5,8.9
2021/12/19,10,8.9
2021/12/20,11.9,9
2021/12/21,15.2,9
2021/12/22,13.5,7.4
2021/12/23,13.2,8.4
2021/12/24,13.2,8.8
2021/12/25,14.1,4.5
2021/12/26,7.6,7.8
2021/12/27,8.1,8.5
2021/12/28,9.5,8.8
2021/12/29,8.9,7.8
2021/12/30,14.5,7.5
2021/12/31,6,3.7
